Vrest,dVdt,APA,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,SA,sex
-76.873,216.26,119.31,5.876,46.551,99.551,257.66,158.11,156,356.88,280.66,609.66,329,203.38,0,0
-74.69,135.69,113.02,8.2642,80.703,114.7,277.7,163,178.92,396.94,314.7,660.7,346,222.44,0,0
-77.798,167.88,118.47,8.1956,73.647,109.65,253.05,143.4,156.71,330,278.05,609.05,331,175.82,0,1
-78.05,169.49,117.72,7.1187,72.636,110.64,246.64,136,179.13,399.28,264.64,578.64,314,222.37,0,0
-76.042,215.62,119.1,6.0073,36.11,88.092,265.09,177,178.24,392.06,276.09,601.09,325,216.48,0,0
-76.348,214.69,119.26,5.9697,47.188,90.188,250.44,160.25,168.54,374.3,254.44,566.44,312,207.66,0,0
-75.516,146.37,112.88,6.8193,47.749,83.428,254.8,171.37,400.15,633.15,240.8,572.8,332,238.55,0,0
-75.971,122.52,109.5,7.0881,58.617,100.62,261.62,161,94.032,293.86,274.62,570.62,296,200.79,0,0
-73.314,146.8,114.42,8.1206,89.044,126.04,304.04,178,158.06,389.69,284.04,594.04,310,233.66,0,0
-77.241,155.69,114.31,6.4865,77.655,113.66,247.66,134,126.43,332.16,266.66,577.66,311,207.29,0,1
-74.872,140.91,112,6.9161,68.453,105.45,278.96,173.51,253.29,505.03,234.96,526.96,292,253.81,0,1
-77.311,252.96,126.11,6.9926,66.342,108.34,248.34,140,120.5,334.99,238.34,501.34,263,215.21,0,0
-76.889,132.69,112.16,7.5027,91.953,124.95,262.95,138,86.35,301.98,230.95,485.06,254.1,216.16,0,1
-76.283,246.19,123.07,6.3574,24.652,77.835,245.88,168.05,157.38,365.17,244.88,528.88,284,208.91,0,0
-76.133,155.41,115.19,7.2186,93.117,126.12,272.42,146.31,199.98,412.72,237.42,538.42,301,214.58,0,1
-76.789,157.87,115.75,7.1999,76.344,109.34,256.34,147,200.43,409.22,252.34,570.34,318,211.18,0,1
