RMP,dV/dtmax,APA,APD20,APD40,APD50,APD90,APDtri,CTA,CTmax,CTD50,CTD90,CTDtri,CTD,Gender,class
-77.31,226.94,102.7,19.854,44.781,78.781,235.75,156.96,81.666,229.77,336.75,700.75,364,149.06,0,1
-78.002,268.33,107.67,29.643,53.643,87.643,236.03,148.38,107.65,261.5,326.03,697.03,371,155.21,0,1
-77.404,244.51,103.57,17.752,45.126,82.126,233.35,151.22,85.935,230.37,311.35,671.35,360,145.19,0,1
-77.783,274,107.49,21.436,45.781,78.781,221.78,143,97.909,248.81,324.78,694.78,370,152.13,0,1
-78.257,224.41,103.33,30.61,53.61,86.61,229.61,143,103.48,262.26,331.61,705.61,374,159.89,0,1
-78.103,244.55,105.64,29.164,50.863,85.863,236.86,151,119.65,267.88,314.86,686.86,372,149.32,0,1
-78.216,270.18,106.89,22.493,46.735,79.735,222.74,143,96.603,252.53,342.74,716.74,374,157.17,0,1
-79.202,255.29,106.58,19.694,45.703,79.703,201.7,122,79.504,230.02,316.7,675.7,359,151.29,0,1
-78.285,261.59,105.71,21.148,45.953,80.953,232.11,151.16,96.771,247.99,328.11,697.11,369,152.29,0,1
-78.07,235.71,104.62,25.138,47.186,83.186,237.19,154,122.31,270.22,303.19,668.19,365,149.21,0,1
-78.701,244.35,105.86,24.295,49.57,85.57,221.57,136,96.829,247.7,336.57,711.57,375,152.04,0,1
-78.193,222.05,103.56,22.551,46.651,78.651,212.65,134,69.532,218.95,357.65,726.65,369,150.38,0,1
-78.415,269.16,108.48,27.853,50.853,84.853,222.07,137.22,125.22,282.81,296.07,654.07,358,158.67,0,1
-78.69,264.31,106.84,29.568,48.697,82.556,230.56,148,155.58,310.38,271.56,625.56,354,155.98,0,1
-78.711,295.9,108.25,24.703,46.298,78.298,216.3,138,136.47,308.22,310.3,682.3,372,173.09,0,1
-77.205,232.97,103.2,26.372,48.444,81.444,238.44,157,103.95,253.44,328.44,702.44,374,150.75,0,1
-77.803,250.99,105.48,23.569,46.97,78.97,222.14,143.17,99.562,258.44,314.14,677.14,363,159.87,0,1
-77.972,242.59,104.33,25.287,46.297,80.297,235.3,155,113.61,262.86,311.3,679.3,368,150.38,0,1
-78.495,249.31,106.12,33.259,52.812,85.812,231.79,145.98,147.17,309.73,298.79,667.79,369,164.05,0,1
-77.682,223.13,102.72,22.182,47.076,83.076,236.08,153,84.135,228,315.08,673.08,358,144.7,0,1
-77.785,248.61,104.44,23.789,46.443,79.443,229.44,150,92.369,237.72,304.44,663.44,359,146.19,0,1
-77.555,252.14,105.54,21.765,46.976,81.976,234.98,153,93.717,241.67,320.98,683.98,363,148.83,0,1
-78.315,255.72,105.88,24.864,48.504,80.504,215.5,135,84.6,240.97,336.5,705.5,369,157.39,0,1
-79.038,252.33,106.77,25.385,47.785,80.785,205.79,125,87.868,238.91,322.79,687.79,365,151.97,0,1
-78.217,228.12,104.33,25.561,47.883,81.883,226.88,145,97.13,245.68,330.66,700.66,370,149.7,0,1
-78.637,257.98,105.17,18.019,44.405,78.405,210.79,132.39,78.776,231.94,340.79,707.79,367,154.06,0,1
-78.946,236.33,104.97,24.636,47.631,79.631,214.63,135,92.298,244.34,334.63,708.63,374,153.17,0,1
-78.57,229.82,103.44,25.148,47.957,82.957,220.96,138,104.13,248.1,288.96,644.96,356,144.77,0,1
